Year,Price_coal
2001,50.1546516418457
2002,33.19798278808594
2003,38.522705078125
2004,64.90174102783203
2005,70.12235260009766
2006,57.81671524047851
2007,49.73318099975586
2008,117.41764068603516
2009,60.73461151123047
2010,67.8741226196289
2011,84.7549819946289
2012,67.28136444091797
2013,69.71723175048828
2014,67.08414459228516
2015,51.56644058227539
2016,51.447731018066406
2017,63.82529067993164
2018,72.84400939941406
2019,57.16398239135742
2020,42.7663688659668
2021,68.53813934326172
